id,titlu,categorie,status,functionalitate_iconta,posibil_duplicat_sens
GH-00126,Se poate recupera impozitul plătit în plus după o încadrare fiscală greșită?,greseli,candidat,,nu
GH-00127,Cum se corectează vectorul fiscal după o eroare privind regimul micro?,micro,candidat,,nu
GH-00128,Care sunt condițiile privind deținerea părților sociale pentru microîntreprinderi în 2026?,altele,candidat,,nu
GH-00129,Câte microîntreprinderi poate avea același asociat în 2026?,infiintare,candidat,,nu
GH-00130,Ce se întâmplă dacă un asociat deține peste 25% în mai multe microîntreprinderi?,infiintare,candidat,,nu
GH-00131,Cum se alege firma care rămâne micro când asociatul deține mai multe SRL-uri?,infiintare,candidat,,nu
GH-00132,Deținerea indirectă se ia în calcul pentru condițiile regimului micro?,micro,candidat,,nu
GH-00133,Cum se calculează procentul de deținere indirectă la microîntreprinderi?,altele,candidat,,nu
GH-00134,Ce înseamnă întreprinderi legate pentru plafonul micro?,micro,candidat,,nu
GH-00135,Veniturile firmelor legate se cumulează la plafonul de 100.000 euro?,altele,candidat,,nu
GH-00136,Cum se calculează plafonul micro pentru întreprinderi legate în 2026?,micro,candidat,,nu
GH-00137,Veniturile unui PFA se cumulează cu veniturile SRL-ului pentru plafonul micro?,pfa,candidat,,nu
GH-00138,Veniturile unei întreprinderi individuale se cumulează cu cele ale SRL-ului micro?,pfa,candidat,,nu
GH-00139,Veniturile unei întreprinderi familiale se iau în calcul la plafonul micro al unui SRL?,pfa,candidat,,nu
GH-00140,Ce legătură există între PFA-ul asociatului și plafonul micro al SRL-ului?,pfa,candidat,,nu
GH-00141,Cum verifici dacă două societăți sunt întreprinderi legate pentru regimul micro?,micro,candidat,,nu
GH-00142,Firmele cu același administrator sunt automat întreprinderi legate pentru micro?,infiintare,candidat,,nu
GH-00143,Firmele cu același asociat sunt automat întreprinderi legate?,infiintare,candidat,,nu
GH-00144,Soțul și soția cu firme diferite trebuie să cumuleze veniturile pentru plafonul micro?,micro,candidat,,nu
GH-00145,Firmele deținute de membri ai aceleiași familii sunt considerate întreprinderi legate?,altele,candidat,,nu
GH-00146,Cum se aplică plafonul micro când asociatul are și PFA?,pfa,candidat,,nu
GH-00147,Cum se aplică plafonul micro când asociatul are două SRL-uri?,infiintare,candidat,,nu
GH-00148,Cum se aplică plafonul micro când un SRL deține participații într-un alt SRL?,micro,candidat,,nu
GH-00149,Veniturile unei firme din străinătate se cumulează la plafonul micro din România?,micro,candidat,,nu
GH-00150,Cum se tratează întreprinderile legate din alte state pentru plafonul micro?,micro,candidat,,nu
GH-00151,Poate un SRL cu asociat persoană juridică să fie microîntreprindere?,infiintare,candidat,,nu
GH-00152,Poate un SRL deținut de o firmă străină să aplice impozitul micro?,micro,candidat,,nu
GH-00153,Poate o societate pe acțiuni să fie microîntreprindere?,altele,candidat,,nu
GH-00154,Poate un SRL-D să aplice regimul micro în 2026?,micro,candidat,,nu
GH-00155,Poate o societate profesională să fie microîntreprindere?,altele,candidat,,nu
GH-00156,Poate o firmă de consultanță să fie microîntreprindere în 2026?,altele,candidat,,nu
GH-00157,Mai există limită pentru veniturile din consultanță la microîntreprinderi în 2026?,altele,candidat,,nu
GH-00158,Poate o firmă de management să aplice impozitul micro?,micro,candidat,,nu
GH-00159,Poate o firmă IT să fie microîntreprindere în 2026?,industrii,candidat,,nu
GH-00160,Poate o firmă de software să aplice impozitul micro de 1%?,micro,candidat,,nu
GH-00161,Poate o agenție de marketing să fie microîntreprindere?,altele,candidat,,nu
GH-00162,Poate un magazin online să aplice impozitul micro?,industrii,candidat,,nu
GH-00163,Poate o firmă de construcții să fie microîntreprindere?,industrii,candidat,,da
GH-00164,Poate un cabinet medical organizat ca SRL să fie microîntreprindere?,altele,candidat,,nu
GH-00165,Poate o clinică medicală să aplice regimul micro?,micro,candidat,,nu
GH-00166,Poate o firmă de contabilitate să fie microîntreprindere?,altele,candidat,,nu
GH-00167,Poate o firmă de avocatură organizată ca societate să aplice regimul micro?,micro,candidat,,nu
GH-00168,Poate o firmă de intermediere să fie microîntreprindere?,altele,candidat,,nu
GH-00169,Poate un restaurant să aplice impozitul micro de 1%?,industrii,candidat,,nu
GH-00170,Poate un hotel să fie microîntreprindere?,industrii,candidat,,nu
GH-00171,Poate o firmă de transport să aplice regimul micro?,micro,candidat,,nu
GH-00172,Poate o firmă de închirieri imobiliare să fie microîntreprindere?,altele,candidat,,nu
GH-00173,Veniturile din chirii intră în plafonul micro?,micro,candidat,,nu
GH-00174,Vânzarea unui imobil poate determina ieșirea din regimul micro?,micro,candidat,,nu
GH-00175,Poate un dezvoltator imobiliar să fie microîntreprindere?,altele,candidat,,nu
GH-00176,Poate un holding să aplice regimul micro?,micro,candidat,,nu
GH-00177,Poate o firmă fără activitate să rămână microîntreprindere?,altele,candidat,,nu
GH-00178,Ce impozit plătește o microîntreprindere fără venituri?,altele,candidat,,nu
GH-00179,Trebuie depusă D100 dacă microîntreprinderea nu are venituri?,altele,candidat,,nu
GH-00180,Ce se întâmplă cu regimul micro dacă firma își suspendă activitatea?,micro,candidat,,nu
GH-00181,O firmă reactivată poate reveni la regimul micro?,micro,candidat,,nu
GH-00182,Cum se impozitează un SRL în primul an de activitate?,altele,candidat,,nu
GH-00183,Ce regim fiscal alegi la înființarea unui SRL în 2026?,infiintare,candidat,,nu
GH-00184,Micro sau impozit pe profit în 2026: care sunt diferențele de calcul?,profit,candidat,,nu
GH-00185,Cum compari impozitul micro de 1% cu impozitul pe profit de 16%?,profit,candidat,,nu
GH-00186,La ce marjă de profit devine mai avantajos matematic impozitul micro față de profit?,micro,candidat,,nu
GH-00187,Cum calculezi diferența dintre impozitul micro și impozitul pe profit?,profit,candidat,,nu
GH-00188,Cheltuielile deductibile reduc impozitul micro?,micro,candidat,,nu
GH-00189,Salariile reduc impozitul datorat de o microîntreprindere?,salarizare,candidat,,nu
GH-00190,Achiziția unui autoturism reduce impozitul micro?,micro,candidat,,nu
GH-00191,Amortizarea reduce impozitul micro?,mijloace_fixe,candidat,,nu
GH-00192,Cheltuielile cu combustibilul reduc impozitul micro?,micro,candidat,,nu
GH-00193,Cheltuielile de protocol reduc impozitul micro?,profit,candidat,,nu
GH-00194,Sponsorizările pot reduce impozitul micro în 2026?,micro,candidat,,nu
GH-00195,Cum se scade sponsorizarea din impozitul micro?,profit,candidat,,nu
GH-00196,Ce limită are sponsorizarea pentru o microîntreprindere?,profit,candidat,,nu
GH-00197,Ce se întâmplă cu sponsorizările reportate după trecerea la impozit pe profit?,profit,candidat,,nu
GH-00198,Casele de marcat și facilitățile fiscale mai reduc impozitul micro în 2026?,micro,candidat,,nu
GH-00199,Bonificațiile fiscale se aplică și microîntreprinderilor?,profit,candidat,,nu
GH-00200,Cum se aplică o reducere de impozit unei microîntreprinderi?,altele,candidat,,nu
GH-00201,Ce se întâmplă cu creditul fiscal extern la o microîntreprindere?,altele,candidat,,nu
GH-00202,Impozitul plătit în străinătate poate fi scăzut din impozitul micro?,micro,candidat,,nu
GH-00203,Cum se tratează veniturile unei microîntreprinderi obținute din străinătate?,altele,candidat,,nu
GH-00204,Un sediu permanent în străinătate afectează regimul micro din România?,micro,candidat,,nu
GH-00205,Cum se tratează veniturile din curs valutar la sfârșit de an pentru plafonul micro?,casierie,candidat,,nu
GH-00206,Regularizările contabile de sfârșit de an pot schimba plafonul micro?,micro,candidat,,nu
GH-00207,Corectarea unei erori contabile din anul precedent afectează plafonul micro curent?,micro,candidat,,nu
GH-00208,Veniturile înregistrate în contul 1174 intră în calculul impozitului micro?,micro,candidat,,nu
GH-00209,Cum afectează o factură emisă cu întârziere plafonul micro?,micro,candidat,,nu
GH-00210,Cum afectează o factură anulată plafonul micro?,micro,candidat,,nu
GH-00211,Cum tratezi un discount acordat ulterior la calculul,altele,candidat,,nu
GH-00212,Impozit micro 2026: cine mai poate aplica 1% pe venituri,micro,candidat,,nu
GH-00213,Cum verific dacă SRL-ul meu mai e plătitor de impozit micro în 2026,micro,candidat,,nu
GH-00214,Diferența dintre impozit micro 1% și impozit pe profit 16% în 2026,profit,candidat,,nu
GH-00215,Plafonul de 100.000 euro pentru impozit micro în 2026: cum se calculează,micro,candidat,,nu
GH-00216,"Care este plafonul real de venituri pentru micro în 2026, în lei",micro,candidat,,nu
GH-00217,Cursul de schimb valutar pentru calculul plafonului micro 2026,casierie,candidat,,nu
GH-00218,Cum se calculează veniturile pentru plafonul micro: TVA inclus sau exclus,tva,candidat,,nu
GH-00219,Ce intră în calculul plafonului de 100.000 euro la micro,micro,candidat,,nu
GH-00220,Veniturile care nu se iau în calcul la plafonul micro,micro,candidat,,nu
GH-00221,Am depășit plafonul micro la jumătatea anului: când trec la profit,micro,candidat,,nu
GH-00222,Cum se face ieșirea din regimul micro la depășirea plafonului,micro,candidat,,nu
GH-00223,Din ce trimestru devin plătitor de impozit pe profit după ieșirea din micro,profit,candidat,,nu
GH-00224,Regularizarea impozitului micro în anul trecerii la impozit pe profit,profit,candidat,,nu
GH-00225,Ce se întâmplă cu impozitul micro plătit dacă trec la profit în același an,micro,candidat,,nu
GH-00226,Ieșirea din micro prin depășire: ce declar și ce plătesc la final de an,micro,candidat,,nu
GH-00227,Depășirea plafonului micro în ultimul trimestru: cum procedez,micro,candidat,,nu
GH-00228,Plafonul micro se verifică la 31 decembrie sau la fiecare trimestru,micro,candidat,,nu
GH-00229,Cum se calculează plafonul micro pentru o firmă nou înființată,infiintare,candidat,,nu
GH-00230,Firmă nouă în 2026: cum intru în regimul micro de la înființare,infiintare,candidat,,nu
GH-00231,SRL nou înființat 2026: micro sau profit din prima zi,infiintare,candidat,,nu
GH-00232,PFA și impozitul micro: poate un PFA să fie plătitor de micro,pfa,candidat,,nu
GH-00233,Întreprindere individuală și impozitul micro 2026,pfa,candidat,,nu
GH-00234,Poate o SA să aplice impozitul micro pe venituri,micro,candidat,,nu
GH-00235,Societate pe acțiuni și regimul micro: condiții 2026,micro,candidat,,nu
GH-00236,Micro 1% pentru firmele cu un singur salariat: condiții 2026,salarizare,candidat,,nu
GH-00237,Condiția salariatului pentru micro: câte contracte trebuie,salarizare,candidat,,nu
GH-00238,Micro fără salariat: riscul trecerii la impozit pe profit,salarizare,candidat,,nu
GH-00239,Am rămas fără salariat în cursul anului: pierd regimul micro,salarizare,candidat,,nu
GH-00240,Am angajat în decembrie: mai prind micro pentru anul următor,micro,candidat,,nu
GH-00241,Cum demonstrez condiția de salariat pentru micro în 2026,salarizare,candidat,,nu
GH-00242,Micro 2026: ce se întâmplă dacă salariatul e și administrator,salarizare,candidat,,nu
GH-00243,Consultant cu contract de mandat și regimul micro,micro,candidat,,nu
GH-00244,SRL cu activitate suspendată: mai datorez impozit micro,micro,candidat,,nu
GH-00245,Firmă în insolvență: mai aplică impozit micro,micro,candidat,,nu
GH-00246,Micro pentru firmele cu activitate sezonieră 2026,micro,candidat,,nu
GH-00247,Cum se declară impozitul micro trimestrial,micro,candidat,,nu
GH-00248,Declarația 100 pentru impozit micro: termen de depunere 2026,micro,candidat,,nu
GH-00249,Termenul de plată a impozitului micro: 25 ale lunii următoare,micro,candidat,,nu
GH-00250,Impozit micro neplătit la termen: penalizări și dobânzi 2026,micro,candidat,,nu
GH-00251,D300 pentru firmă micro: cum se completează corect,tva,candidat,,nu
GH-00252,Decontul de TVA și impozitul micro: cum se leagă,tva,candidat,,nu
GH-00253,Micro cu TVA la încasare: cum funcționează împreună,tva,candidat,,nu
GH-00254,Micro și TVA trimestrial: condiții 2026,tva,candidat,,nu
GH-00255,Micro cu TVA normal: când depun decontul,tva,candidat,,nu
GH-00256,Firmă micro scutită de TVA: se poate,tva,candidat,,da
GH-00257,Micro cu cod special de TVA: ce obligații am,tva,candidat,,nu
GH-00258,Micro și plafonul de TVA 395.000 lei în 2026,tva,candidat,,nu
GH-00259,Am depășit plafonul de TVA ca micro: ce se schimbă,tva,candidat,,nu
GH-00260,Trecerea de la micro la profit în timpul anului: recalcularea veniturilor,micro,candidat,,nu
GH-00261,Micro 2026: cuantumul 1% se aplică pe venituri sau pe profit,micro,candidat,,nu
GH-00262,Baza de impozitare la micro: venituri minus ce,micro,candidat,,nu
GH-00263,Impozit micro pe venituri din dividende: se cumulează,declaratii_speciale,candidat,,nu
GH-00264,Venituri din vânzarea de active ca micro: intră în plafon,micro,candidat,,nu
GH-00265,Venituri din chirii la firmă micro: cum se impozitează,micro,candidat,,nu
GH-00266,Micro pentru SRL cu profit zero: tot plătesc 1%,micro,candidat,,nu
GH-00267,Micro cu pierdere contabilă: se plătește impozit,micro,candidat,,nu
GH-00268,Diferența dintre micro și profit pentru o firmă mică în 2026,micro,candidat,,nu
GH-00269,Când NU merită impozitul micro: simulare SRL 2026,micro,candidat,,nu
GH-00270,Simulare micro vs profit pentru venituri de 300.000 lei,micro,candidat,,nu
GH-00271,Pragul de la care micro devine nefavorabil față de profit,micro,candidat,,nu
GH-00272,Impozit micro pentru SRL din IT: condiții speciale 2026,micro,candidat,,nu
GH-00273,Micro pentru firme din HoReCa: se mai aplică,industrii,candidat,,nu
GH-00274,Micro pentru firme din construcții: facilități 2026,industrii,candidat,,nu
GH-00275,Firmă cu CAEN 6201 și regimul micro 2026,micro,candidat,,nu
GH-00276,Micro pentru firmele care fac comerț: cum se calculează,micro,candidat,,nu
GH-00277,Micro și sponsorizarea: cum se deduce din impozit,profit,candidat,,nu
GH-00278,Sponsorizare ca micro: se scade din impozitul de 1%,profit,candidat,,nu
GH-00279,Micro și impozitul pe dividende 2026: ce procent plătesc,declaratii_speciale,candidat,,nu
GH-00280,Dividende la firmă micro: cum se impozitează în 2026,declaratii_speciale,candidat,,nu
GH-00281,Micro și microîntreprindere: care e diferența de regim,micro,candidat,,nu
GH-00282,Cum ies din micro benevol: procedura la ANAF,micro,candidat,,nu
GH-00283,Pot renunța voluntar la impozitul micro și trece la profit,micro,candidat,,nu
GH-00284,Schimbarea regimului din micro în profit: cum se face în SPV,spv,candidat,,nu
GH-00285,Cum corectez o declarație de impozit micro depusă greșit,micro,candidat,,nu
GH-00286,Declarație 100 rectificativă pentru micro: cum se completează,micro,candidat,,nu
GH-00287,Am plătit prea mult impozit micro: cum recuperez,micro,candidat,,nu
GH-00288,Am plătit prea puțin impozit micro: ce fac,micro,candidat,,nu
GH-00289,Compensarea impozitului micro plătit în plus,micro,candidat,,nu
GH-00290,Micro: ce fac dacă ANAF mi-a schimbat regimul din oficiu,micro,candidat,,nu
GH-00291,Notificare ANAF pentru ieșirea din micro: cum răspund,micro,candidat,,nu
GH-00292,Contestație la decizia ANAF de trecere la impozit pe profit,profit,candidat,,nu
GH-00293,Micro și controlul ANAF: ce verifică inspectorii,micro,candidat,,nu
GH-00294,Puncte de vedere ANAF despre plafonul micro 2026,micro,candidat,,nu
GH-00295,Micro 2026: noutăți legislative față de 2025,micro,candidat,,nu
GH-00296,Ce modificări aduce Codul fiscal la micro în 2026,micro,candidat,,nu
GH-00297,Impozit micro: prevederile valabile din 1 ianuarie 2026,micro,candidat,,nu
GH-00298,Micro după OUG din 2026: ce s-a schimbat,micro,candidat,,nu
GH-00299,Plafonul micro în euro sau lei: ce e obligatoriu 2026,micro,candidat,,nu
GH-00300,Conversia plafonului 100.000 euro în lei la 31 decembrie,altele,candidat,,nu
GH-00301,Cum calculez veniturile micro la firmele cu activitate externă,micro,candidat,,nu
GH-00302,Venituri din export ca micro: intră în plafon,micro,candidat,,nu
GH-00303,Micro pentru firme cu venituri din subvenții 2026,micro,candidat,,nu
GH-00304,Micro și veniturile din dobânzi: cum se tratează,micro,candidat,,nu
GH-00305,Venituri din vânzarea mărfurilor vs servicii la micro,micro,candidat,,nu
GH-00306,Micro cu activitate de producție: se aplică 1%,micro,candidat,,nu
GH-00307,Cum îmi dau seama de la ce venituri ies din micro,micro,candidat,,nu
GH-00308,Planificare fiscală micro spre final de an 2026,micro,candidat,,nu
GH-00309,Pot amâna facturi de client ca să rămân sub plafonul micro,micro,candidat,,nu
GH-00310,Eșalonarea încasărilor ca să nu depășesc plafonul micro,micro,candidat,,nu
GH-00311,Riscul reevaluării micro la controale de fond,micro,candidat,,nu
GH-00312,ANA F aduce amenda dacă nu declar ieșirea din micro la timp,micro,candidat,,nu
GH-00313,Sancțiuni pentru depășirea plafonului micro nedeclarată,micro,candidat,,nu
GH-00314,Cum să evit pierderea regimului micro prin planificare,micro,candidat,,nu
GH-00315,Firmă cu doi asociați și regimul micro 2026,infiintare,candidat,,nu
